
amount,blockNumber,blockTimestamp,tokenAddress,transactionHash,from.addresses,to.addresses
2.69550212394173e+19,17050060,2023-04-15T04:26:23Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0x976fca5bd260e3123f50434cf42093f32dcd3168f7131b3bad820ac6b4825cad,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0x51845fad9e2afbc9f6f07cfd60fdba45df1e3c2d
3.850882657197521e+19,17050035,2023-04-15T04:21:11Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0x29e6cd44c81a4bd0f2e0385b782fb37ae569f5ec2843303ed1c4262a9507c3bb,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0x4f942119e6ab0a6e4368e795d1d64291a3ff0da4
1.2737748280077535e+20,17049880,2023-04-15T03:49:47Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0xe288dbdf3d6b902f8f51b9f0b225726c0daf97ffb22456612122002f5c3d52bc,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0xbd1f7d88c76a86c60d41bddd4819fae404e7151e
1.0650516671862116e+19,17048726,2023-04-14T23:50:47Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0x4daefee33d841f368b3909099b6a3e9604a20394891f092e6943f9ee22ebf34d,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0xdebecda49e945a1ccda0c0a118172cfcfa33a2e1
8.886341661886281e+20,17048102,2023-04-14T21:43:11Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0xac0ad6be30f728456a59242cb3067e85bb65920cc523270606df4af902cbffac,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0xffe6212baf6c88850dcd6511cd32be11c50d3a61
1.1362605521770637e+18,17045725,2023-04-14T13:31:59Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0x8887211fbdf420d519072a052c464140b196e6b46bc03a5a590f86247ef4a866,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0xc69ae428f6049e78d445f053d2c1df879c59b34c
9.287279419270891e+19,17044239,2023-04-14T08:26:23Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0xe2383c4c96a1eb7aff45950bdcbec3505519f27f907bf134624bad6ff1a49a7c,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0x20965c9ebceb19454d6327de59cf69cdc21bf9ff
9.287279419270891e+19,17044239,2023-04-14T08:26:11Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0xe2383c4c96a1eb7aff45950bdcbec3505519f27f907bf134624bad6ff1a49a7c,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0x20965c9ebceb19454d6327de59cf69cdc21bf9ff
8.702647499165814e+19,17043264,2023-04-14T05:06:47Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0x197bc73779db480d5664a1596edf727a18bfd9aac113bf668879d1b36580b76a,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0xcd8ceb90f34f1fe03f384ef33acb386f45872297
1.5621065323306064e+19,17041180,2023-04-13T21:59:59Z,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0x09994a3c952630a3c2b5f9fa95885fefa700320dce03b694e11f351e5b666a31,0xc128a9954e6c874ea3d62ce62b468ba073093f25,0x20d91d9bae82b6ab3a74c8b89d90858696a20650
